2021-11-17 21:58:04 status installed libnghttp2-14:arm64 1.36.0-2+deb10u1
2021-11-17 21:58:04 configure libunistring2:arm64 0.9.10-1 <none>
2021-11-17 21:58:04 status unpacked libunistring2:arm64 0.9.10-1
2021-11-17 21:58:04 status half-configured libunistring2:arm64 0.9.10-1
2021-11-17 21:58:04 status installed libunistring2:arm64 0.9.10-1
2021-11-17 21:58:04 configure libsmartcols1:arm64 2.33.1-0.1 <none>
2021-11-17 21:58:04 status unpacked libsmartcols1:arm64 2.33.1-0.1
2021-11-17 21:58:04 status half-configured libsmartcols1:arm64 2.33.1-0.1
2021-11-17 21:58:04 status installed libsmartcols1:arm64 2.33.1-0.1
2021-11-17 21:58:04 configure linux-libc-dev:arm64 4.19.181-1 <none>
2021-11-17 21:58:04 status unpacked linux-libc-dev:arm64 4.19.181-1
2021-11-17 21:58:04 status half-configured linux-libc-dev:arm64 4.19.181-1
2021-11-17 21:58:04 status installed linux-libc-dev:arm64 4.19.181-1
2021-11-17 21:58:04 configure imx-vpu-hantro:arm64 1.11.0-4 <none>
2021-11-17 21:58:04 status unpacked imx-vpu-hantro:arm64 1.11.0-4
2021-11-17 21:58:04 status half-configured imx-vpu-hantro:arm64 1.11.0-4
2021-11-17 21:58:04 status installed imx-vpu-hantro:arm64 1.11.0-4
2021-11-17 21:58:04 configure gettext-base:arm64 0.19.8.1-9 <none>
2021-11-17 21:58:04 status unpacked gettext-base:arm64 0.19.8.1-9
2021-11-17 21:58:04 status half-configured gettext-base:arm64 0.19.8.1-9
2021-11-17 21:58:04 status installed gettext-base:arm64 0.19.8.1-9
2021-11-17 21:58:04 configure libcdio18:arm64 2.0.0-2 <none>
2021-11-17 21:58:04 status unpacked libcdio18:arm64 2.0.0-2
2021-11-17 21:58:04 status half-configured libcdio18:arm64 2.0.0-2
2021-11-17 21:58:04 status installed libcdio18:arm64 2.0.0-2
2021-11-17 21:58:04 configure imx-firmware:all 3-2 <none>
2021-11-17 21:58:04 status unpacked imx-firmware:all 3-2
2021-11-17 21:58:04 status half-configured imx-firmware:all 3-2
2021-11-17 21:58:07 status installed imx-firmware:all 3-2
2021-11-17 21:58:07 configure libgcrypt20:arm64 1.8.4-5 <none>
2021-11-17 21:58:07 status unpacked libgcrypt20:arm64 1.8.4-5
2021-11-17 21:58:07 status half-configured libgcrypt20:arm64 1.8.4-5
2021-11-17 21:58:07 status installed libgcrypt20:arm64 1.8.4-5
